Postcode,Economy,Premium
CM0 7AA,80,90
CM0 7AB,80,90
CM0 7AD,80,90
CM0 7AE,80,90
CM0 7AF,80,90
CM0 7AG,80,90
CM0 7AH,80,90
CM0 7AJ,80,90
CM0 7AL,80,90
CM0 7AN,80,90
CM0 7AP,80,90
CM0 7AQ,80,90
CM0 7AS,80,90
CM0 7AT,80,90
CM0 7AU,80,90
CM0 7AW,80,90
CM0 7AX,80,90
CM0 7AY,80,90
CM0 7AZ,80,90
CM0 7BA,80,90
CM0 7BB,80,90
CM0 7BD,80,90
CM0 7BE,80,90
CM0 7BF,80,90
CM0 7BG,80,90
CM0 7BH,80,90
CM0 7BJ,80,90
CM0 7BL,80,90
CM0 7BN,80,90
CM0 7BP,80,90
CM0 7BQ,80,90
CM0 7BS,80,90
CM0 7BT,80,90
CM0 7BU,80,90
CM0 7BW,80,90
CM0 7BX,80,90
CM0 7BY,80,90
CM0 7BZ,80,90
CM0 7DA,80,90
CM0 7DB,80,90
CM0 7DD,80,90
CM0 7DE,80,90
CM0 7DF,80,90
CM0 7DG,80,90
CM0 7DH,80,90
CM0 7DJ,80,90
CM0 7DL,80,90
CM0 7DN,80,90
CM0 7DP,80,90
CM0 7DQ,80,90
CM0 7DR,80,90
CM0 7DS,80,90
CM0 7DT,80,90
CM0 7DU,80,90
CM0 7DW,80,90
CM0 7DX,80,90
CM0 7DY,80,90
CM0 7DZ,80,90
CM0 7EA,80,90
CM0 7EB,80,90
CM0 7ED,80,90
CM0 7EE,80,90
CM0 7EF,80,90
CM0 7EG,80,90
CM0 7EH,80,90
CM0 7EJ,80,90
CM0 7EL,80,90
CM0 7EN,80,90
CM0 7EP,80,90
CM0 7EQ,80,90
CM0 7ER,80,90
CM0 7ES,80,90
CM0 7ET,80,90
CM0 7EU,80,90
CM0 7EW,80,90
CM0 7EX,80,90
CM0 7EY,80,90
CM0 7EZ,80,90
CM0 7FA,80,90
CM0 7FB,80,90
CM0 7FD,80,90
CM0 7FE,80,90
CM0 7FF,80,90
CM0 7FG,80,90
CM0 7FH,80,90
CM0 7FJ,80,90
CM0 7FL,80,90
CM0 7FN,80,90
CM0 7FP,80,90
CM0 7FQ,80,90
CM0 7FR,80,90
CM0 7FS,80,90
CM0 7FT,80,90
CM0 7FU,80,90
CM0 7FW,80,90
CM0 7FX,80,90
CM0 7FY,80,90
CM0 7FZ,80,90
CM0 7GA,80,90
CM0 7GB,80,90
CM0 7GD,80,90
CM0 7GE,80,90
CM0 7GF,80,90
CM0 7GG,80,90
CM0 7GH,80,90
CM0 7GJ,80,90
